PID,Date,Group,Group2,Name,Species,Populations,SID,reproduction,TYPE,Unit ,u_mean,u_lower,u_upper,SE,range_low,range_up,Events,Callable,Method,SampleSize,Generations,Sequencing,Tools,Depth,Comments,CITATION,Citation2,Link
2004001,2004,worm,nematodes,nematode ,Caenorhabditis elegans,,2004001_1,unknown,snp,bp/generation,9e-9,,,3.0e-9,,,13,,MA,58-72,280-396,PCR,,,,"Denver, D. R., Morris, K., Lynch, M., & Thomas, W. K. (2004). High mutation rate and predominance of insertions in the Caenorhabditis elegans nuclear genome. Nature, 430(7000), 679-682.",,https://www.nature.com/articles/nature02697
2004001,2004,worm,nematodes,nematode ,Caenorhabditis elegans,,2004001_1,unknown,indel,bp/generation,12.0e-9,,,,,,17,,MA,58-72,280-396,PCR,,,,"Denver, D. R., Morris, K., Lynch, M., & Thomas, W. K. (2004). High mutation rate and predominance of insertions in the Caenorhabditis elegans nuclear genome. Nature, 430(7000), 679-682.",,https://www.nature.com/articles/nature02697
2004001,2004,worm,nematodes,nematode ,Caenorhabditis elegans,,2004001_1,unknown,deletion,bp/generation,2.82e-9,,,,,,4,,MA,58-72,280-396,PCR,,,,"Denver, D. R., Morris, K., Lynch, M., & Thomas, W. K. (2004). High mutation rate and predominance of insertions in the Caenorhabditis elegans nuclear genome. Nature, 430(7000), 679-682.",,https://www.nature.com/articles/nature02697
2004001,2004,worm,nematodes,nematode ,Caenorhabditis elegans,,2004001_1,unknown,insertion,bp/generation,9.18e-9,,,,,,13,,MA,58-72,280-396,PCR,,,,"Denver, D. R., Morris, K., Lynch, M., & Thomas, W. K. (2004). High mutation rate and predominance of insertions in the Caenorhabditis elegans nuclear genome. Nature, 430(7000), 679-682.",,https://www.nature.com/articles/nature02697
2007002,2007,arthropods  ,arthropods  ,fruit fly,Drosophila melanogaster,"Florida-33, Florida-39 and Madrid",2007002_2,sexual,snp,bp/generation,5.8e-9,2.1e-9,1.31e-8,,,,25,,MA,3,90,denaturing high-performance liquid chromatography (DHPLC),,,,"Haag-Liautard, C., Dorris, M., Maside, X., Macaskill, S., Halligan, D. L., Charlesworth, B., & Keightley, P. D. (2007). Direct estimation of per nucleotide and genomic deleterious mutation rates in Drosophila. Nature, 445(7123), 82-85.",,https://www.nature.com/articles/nature05388
2007002,2007,arthropods  ,arthropods  ,fruit fly,Drosophila melanogaster,"Florida-33, Florida-39 and Madrid",2007002_2,sexual,indel,bp/generation,1.748e-9,,,,,,8,,MA,3,90,denaturing high-performance liquid chromatography (DHPLC),,,,"Haag-Liautard, C., Dorris, M., Maside, X., Macaskill, S., Halligan, D. L., Charlesworth, B., & Keightley, P. D. (2007). Direct estimation of per nucleotide and genomic deleterious mutation rates in Drosophila. Nature, 445(7123), 82-85.",,https://www.nature.com/articles/nature05388
2007002,2007,arthropods  ,arthropods  ,fruit fly,Drosophila melanogaster,"Florida-33, Florida-39 and Madrid",2007002_2,sexual,deletion,bp/generation,1.31e-9,,,,,,6,,MA,3,90,denaturing high-performance liquid chromatography (DHPLC),,,,"Haag-Liautard, C., Dorris, M., Maside, X., Macaskill, S., Halligan, D. L., Charlesworth, B., & Keightley, P. D. (2007). Direct estimation of per nucleotide and genomic deleterious mutation rates in Drosophila. Nature, 445(7123), 82-85.",,https://www.nature.com/articles/nature05388
2007002,2007,arthropods  ,arthropods  ,fruit fly,Drosophila melanogaster,"Florida-33, Florida-39 and Madrid",2007002_2,sexual,insertion,bp/generation,4.38e-10,,,,,,2,,MA,3,90,denaturing high-performance liquid chromatography (DHPLC),,,,"Haag-Liautard, C., Dorris, M., Maside, X., Macaskill, S., Halligan, D. L., Charlesworth, B., & Keightley, P. D. (2007). Direct estimation of per nucleotide and genomic deleterious mutation rates in Drosophila. Nature, 445(7123), 82-85.",,https://www.nature.com/articles/nature05388
2008001,2008,unicellular,fungi,yeast,Saccharomyces cerevisiae,,2008001_1,asexual,snp,bp/generation,0.33e-9,,,0.08e-9,,,33,,MA,4,4800,,,,A cell division is a generation,"Lynch, M., Sung, W., Morris, K., Coffey, N., Landry, C. R., Dopman, E. B., ... & Thomas, W. K. (2008). A genome-wide view of the spectrum of spontaneous mutations in yeast. Proceedings of the National Academy of Sciences, 105(27), 9272-9277.","Zhu, Y. O., Siegal, M. L., Hall, D. W., & Petrov, D. A. (2014). Precise estimates of mutation rate and spectrum in yeast. Proceedings of the National Academy of Sciences, 111(22), E2310-E2318.",
2008001,2008,unicellular,fungi,yeast,Saccharomyces cerevisiae,,2008001_1,asexual,indel,bp/generation,0.20e-10,,,,,,,,MA,4,4800,,,,A cell division is a generation,"Lynch, M., Sung, W., Morris, K., Coffey, N., Landry, C. R., Dopman, E. B., ... & Thomas, W. K. (2008). A genome-wide view of the spectrum of spontaneous mutations in yeast. Proceedings of the National Academy of Sciences, 105(27), 9272-9277.","Zhu, Y. O., Siegal, M. L., Hall, D. W., & Petrov, D. A. (2014). Precise estimates of mutation rate and spectrum in yeast. Proceedings of the National Academy of Sciences, 111(22), E2310-E2318.",
2009001,2009,worm,nematodes,nematode ,Caenorhabditis elegans,,2009001_1,unknown,snp,bp/generation,2.7e-9,,,0.4e-9,,,391,,MA,10,,Solexa and 454,,,,"Denver, D. R., Dolan, P. C., Wilhelm, L. J., Sung, W., Lucas-Lledó, J. I., Howe, D. K., ... & Baer, C. F. (2009). A genome-wide view of Caenorhabditis elegans base-substitution mutation processes. Proceedings of the National Academy of Sciences, 106(38), 16310-16314.","Weller, A. M., Rödelsperger, C., Eberhardt, G., Molnar, R. I., & Sommer, R. J. (2014). Opposing forces of A/T-biased mutations and G/C-biased gene conversions shape the genome of the nematode Pristionchus pacificus. Genetics, 196(4), 1145-1152.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752564/
2009002,2009,arthropods  ,arthropods  ,fruit fly,Drosophila melanogaster,Madrid lines,2009002_1,sexual,snp,bp/generation,3.46e-9,2.96e-9,4.01e-9,,,,174,,MA,3,262,Illumina ,,,,"Keightley, P. D., Trivedi, U., Thomson, M., Oliver, F., Kumar, S., & Blaxter, M. L. (2009). Analysis of the genome sequences of three Drosophila melanogaster spontaneous mutation accumulation lines. Genome research, 19(7), 1195-1201.","Weller, A. M., Rödelsperger, C., Eberhardt, G., Molnar, R. I., & Sommer, R. J. (2014). Opposing forces of A/T-biased mutations and G/C-biased gene conversions shape the genome of the nematode Pristionchus pacificus. Genetics, 196(4), 1145-1152.",https://genome.cshlp.org/content/19/7/1195.full
2009004,2010,plants,plants,arabidopsis ,Arabidopsis thaliana,,2009004_1,sexual,snp,bp/generation,6.5e-9,,,0.7e-9,,,99,,MA,5,30,Illumina,,23-31,,"Ossowski, S., Schneeberger, K., Lucas-Lledó, J. I., Warthmann, N., Clark, R. M., Shaw, R. G., ... & Lynch, M. (2010). The rate and molecular spectrum of spontaneous mutations in Arabidopsis thaliana. science, 327(5961), 92-94.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3878865/
2009004,2010,plants,plants,arabidopsis ,Arabidopsis thaliana,,2009004_1,sexual,deletion,bp/generation,0.6e-9,,,0.2e-9,,,8,,MA,5,30,Illumina,,23-31,,"Ossowski, S., Schneeberger, K., Lucas-Lledó, J. I., Warthmann, N., Clark, R. M., Shaw, R. G., ... & Lynch, M. (2010). The rate and molecular spectrum of spontaneous mutations in Arabidopsis thaliana. science, 327(5961), 92-94.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3878865/
2009004,2010,plants,plants,arabidopsis ,Arabidopsis thaliana,,2009004_1,sexual,insertion,bp/generation,0.3e-9,,,0.1e-9,,,5,,MA,5,30,Illumina,,23-31,,"Ossowski, S., Schneeberger, K., Lucas-Lledó, J. I., Warthmann, N., Clark, R. M., Shaw, R. G., ... & Lynch, M. (2010). The rate and molecular spectrum of spontaneous mutations in Arabidopsis thaliana. science, 327(5961), 92-94.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3878865/
2010001,2010,human,primates,human,Homo sapiens,,2010001_1,sexual,snp,bp/generation,1.36e-8,0.34e-8,2.7e-8,,,,,,PO,,,Sanger ,,,,"Awadalla, P., Gauthier, J., Myers, R. A., Casals, F., Hamdan, F. F., Griffing, A. R., ... & Rouleau, G. A. (2010). Direct measure of the de novo mutation rate in autism and schizophrenia cohorts. The American Journal of Human Genetics, 87(3), 316-324.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2933353/
2010002,2010,human,primates,human,Homo sapiens,,2010002_1,sexual,snp,bp/generation,1.285e-8,,,0.195e-8,,,,,PO,,,,,,,"Lynch, M. (2010). Rate, molecular spectrum, and consequences of human mutation. Proceedings of the National Academy of Sciences, 107(3), 961-968.",,https://www.pnas.org/doi/full/10.1073/pnas.0912629107
2010002,2010,human,primates,human,Homo sapiens,,2010002_1,sexual,indel,bp/generation,0.78e-9,,,,,,3488,,PO,,,,,,,"Lynch, M. (2010). Rate, molecular spectrum, and consequences of human mutation. Proceedings of the National Academy of Sciences, 107(3), 961-968.",,https://www.pnas.org/doi/full/10.1073/pnas.0912629107
2010002,2010,human,primates,human,Homo sapiens,,2010002_1,sexual,deletion,bp/generation,0.58e-9,,,,,,2585,,PO,,,,,,,"Lynch, M. (2010). Rate, molecular spectrum, and consequences of human mutation. Proceedings of the National Academy of Sciences, 107(3), 961-968.",,https://www.pnas.org/doi/full/10.1073/pnas.0912629107
2010002,2010,human,primates,human,Homo sapiens,,2010002_1,sexual,insertion,bp/generation,0.20e-9,,,,,,903,,PO,,,,,,,"Lynch, M. (2010). Rate, molecular spectrum, and consequences of human mutation. Proceedings of the National Academy of Sciences, 107(3), 961-968.",,https://www.pnas.org/doi/full/10.1073/pnas.0912629107
